,artikel_id,frage_nr,frage,musterloesung,fake_news_art,vector_rag_antwort_manipuliert_2,graph_rag_antwort_manipuliert_2,hybrid_rag_antwort_manipuliert_2,system,antwort,manuelle_bewertung
0,72,1,"Wie viele Teilnehmer wurden tatsächlich bei dem Autokorso in Tucson erwartet, der von Jorge organisiert wurde?",Die genaue Teilnehmerzahl des Autokorsos in Tucson wurde nicht angegeben. Der manipulierte Artikel übertreibt jedoch mit der Zahl von über 100.000 Anmeldungen.,Fake Fact,"Bei dem Autokorso in Tucson, der von Jorge organisiert wurde, wurden tatsächlich weniger Teilnehmer erwartet als die übertriebenen 100.000 Anmeldungen, die Jorge angab. Die genaue Anzahl der tatsächlich erwarteten Teilnehmer wird im bereitgestellten Kontext jedoch nicht spezifiziert.","Der bereitgestellte Kontext enthält keine Informationen darüber, wie viele Teilnehmer tatsächlich bei dem von Jorge organisierten Autokorso in Tucson erwartet wurden.","Bei dem Autokorso in Tucson, der von Jorge organisiert wurde, wurde die tatsächliche Beteiligung stark übertrieben. Jorge behauptete, dass die Veranstaltung über 100.000 Anmeldungen erhalten habe, was jedoch eine völlige Übertreibung der tatsächlichen Teilnehmerzahl darstellt. Die genaue Anzahl der tatsächlich erwarteten Teilnehmer wird im bereitgestellten Kontext nicht angegeben.",vector_rag_antwort_manipuliert_2,"Bei dem Autokorso in Tucson, der von Jorge organisiert wurde, wurden tatsächlich weniger Teilnehmer erwartet als die übertriebenen 100.000 Anmeldungen, die Jorge angab. Die genaue Anzahl der tatsächlich erwarteten Teilnehmer wird im bereitgestellten Kontext jedoch nicht spezifiziert.",1
1,30,1,"Wie hoch war der Anteil der Wähler in Kalifornien, die bei der aktuellen Wahl für Donald Trump gestimmt haben?",40 Prozent der Wähler in Kalifornien stimmten bei der aktuellen Wahl für Donald Trump.,Fake Fact,Bei der aktuellen Wahl haben 40 Prozent der Wähler in Kalifornien für Donald Trump gestimmt.,"Der bereitgestellte Kontext enthält keine spezifischen Informationen über den genauen Anteil der Wähler in Kalifornien, die bei der aktuellen Wahl für Donald Trump gestimmt haben. Es wird lediglich erwähnt, dass Donald Trump in Kalifornien Wählerstimmen erhalten hat, aber keine genaue Prozentzahl oder ein Anteil wird angegeben.","Bei der aktuellen Wahl haben 40 Prozent der Wähler in Kalifornien für Donald Trump gestimmt. Dies stellt eine Zunahme im Vergleich zu den 34 Prozent dar, die bei den vergangenen Wahlen im Jahr 2020 für ihn gestimmt hatten. Es ist jedoch wichtig zu betonen, dass die Behauptung, 60 Prozent hätten für Trump gestimmt, falsch ist. Kalifornien bleibt mehrheitlich demokratisch geprägt.",vector_rag_antwort_manipuliert_2,Bei der aktuellen Wahl haben 40 Prozent der Wähler in Kalifornien für Donald Trump gestimmt.,1
2,76,1,"Welche finanziellen Auswirkungen könnten Trumps Strafzölle auf die deutsche Wirtschaft haben, gemäß den Modellierungen des Instituts der deutschen Wirtschaft?","Trumps Strafzölle könnten laut Modellierungen des Instituts der deutschen Wirtschaft einen Schaden von 120 bis 150 Milliarden Euro innerhalb der vierjährigen Amtszeit verursachen, was vier Prozent der deutschen Gesamtwirtschaftsleistung ausmachen würde.",Fake Fact,"Gemäß den Modellierungen des Instituts der deutschen Wirtschaft (IW) könnten Trumps Strafzölle einen finanziellen Schaden für die deutsche Wirtschaft zwischen 120 und 180 Milliarden Euro innerhalb seiner vierjährigen Amtszeit verursachen. Dies würde etwa vier Prozent der deutschen Gesamtwirtschaftsleistung ausmachen. Experten schätzen jedoch, dass der tatsächliche finanzielle Schaden auf bis zu 300 Milliarden Euro ansteigen könnte, was die deutsche Wirtschaft erheblich belasten würde.",Gemäß den Modellierungen des Instituts der deutschen Wirtschaft könnten Trumps Strafzölle einen finanziellen Schaden für die deutsche Wirtschaft in Höhe von 120 bis 150 Milliarden Euro verursachen.,"Gemäß den Modellierungen des Instituts der deutschen Wirtschaft (IW) könnten Trumps Strafzölle einen erheblichen finanziellen Schaden für die deutsche Wirtschaft verursachen. Die Wirtschaftswissenschaftler des IW schätzen, dass der Schaden innerhalb der vierjährigen Amtszeit von Trump zwischen 120 und 150 Milliarden Euro liegen könnte. Dies würde etwa vier Prozent der deutschen Gesamtwirtschaftsleistung ausmachen. Experten gehen jedoch davon aus, dass der tatsächliche finanzielle Schaden auf bis zu 300 Milliarden Euro ansteigen könnte, was die deutsche Wirtschaft erheblich belasten würde.",vector_rag_antwort_manipuliert_2,"Gemäß den Modellierungen des Instituts der deutschen Wirtschaft (IW) könnten Trumps Strafzölle einen finanziellen Schaden für die deutsche Wirtschaft zwischen 120 und 180 Milliarden Euro innerhalb seiner vierjährigen Amtszeit verursachen. Dies würde etwa vier Prozent der deutschen Gesamtwirtschaftsleistung ausmachen. Experten schätzen jedoch, dass der tatsächliche finanzielle Schaden auf bis zu 300 Milliarden Euro ansteigen könnte, was die deutsche Wirtschaft erheblich belasten würde.",0
3,77,1,Welche Steuerpolitik verfolgen Harris und Trump bezüglich Trinkgeld?,"Beide Präsidentschaftskandidaten, Harris und Trump, sind sich einig, keine Steuern auf Trinkgeld zu erheben.",Fake Fact,"Beide Präsidentschaftskandidaten, Kamala Harris und Donald Trump, verfolgen die gleiche Steuerpolitik in Bezug auf Trinkgeld: Sie wollen keine Steuern auf Trinkgeld erheben. Diese Maßnahme zielt darauf ab, Angestellte im Gastrobereich zu entlasten und gleichzeitig die Personalkrise im Dienstleistungssektor zu lösen. Obwohl es fälschlicherweise Berichte gab, dass Harris eine Steuer von 30% auf Trinkgelder einführen möchte, ist dies nicht Teil ihres Plans.",Der bereitgestellte Kontext enthält keine Informationen über die Steuerpolitik von Harris und Trump bezüglich Trinkgeld.,"Sowohl Kamala Harris als auch Donald Trump verfolgen die Steuerpolitik, keine Steuern auf Trinkgeld zu erheben. Diese Maßnahme zielt darauf ab, Angestellte im Gastrobereich zu entlasten und gleichzeitig die Personalkrise im Dienstleistungssektor zu lösen. Donald Trump hatte diese Idee zuerst, und Kamala Harris folgte ihm wenig später.",vector_rag_antwort_manipuliert_2,"Beide Präsidentschaftskandidaten, Kamala Harris und Donald Trump, verfolgen die gleiche Steuerpolitik in Bezug auf Trinkgeld: Sie wollen keine Steuern auf Trinkgeld erheben. Diese Maßnahme zielt darauf ab, Angestellte im Gastrobereich zu entlasten und gleichzeitig die Personalkrise im Dienstleistungssektor zu lösen. Obwohl es fälschlicherweise Berichte gab, dass Harris eine Steuer von 30% auf Trinkgelder einführen möchte, ist dies nicht Teil ihres Plans.",1
4,10,1,Wer wurde von Trump für das Amt des Justizministers nominiert?,Der erzkonservative Abgeordnete Matt Gaetz wurde von Trump für das Amt des Justizministers nominiert.,Fake Fact,Donald Trump hat den erzkonservativen Abgeordneten Matt Gaetz für das Amt des Justizministers nominiert.,"Der bereitgestellte Kontext enthält keine spezifische Information darüber, dass Trump jemanden für das Amt des Justizministers nominiert hat. Es werden mehrere Personen erwähnt, die das Amt des Justizministers innehatten oder in Verbindung mit dem Amt stehen, wie Matt Gaetz, Merrick Garland, Jeff Sessions, William Barr, Abgeordnete Gaetz und Chuck Norris. Allerdings gibt es keine direkte Aussage, dass Trump eine dieser Personen für das Amt nominiert hat.",Donald Trump hat den erzkonservativen Abgeordneten Matt Gaetz für das Amt des Justizministers nominiert.,vector_rag_antwort_manipuliert_2,Donald Trump hat den erzkonservativen Abgeordneten Matt Gaetz für das Amt des Justizministers nominiert.,1
5,34,1,Wie veränderte sich der mexikanische Peso nach Donald Trumps Wahlsieg?,"Der mexikanische Peso sank auf den schwächsten Stand seit über zwei Jahren. Zum ersten Mal seit August 2022 fiel die Währung kurzzeitig auf 20,8038 pro US-Dollar, was mehr als 3 Prozent unter seinem vorherigen Schlusskurs lag.",Fake Fact,"Nach dem Wahlsieg von Donald Trump sank der mexikanische Peso auf den schwächsten Stand seit über zwei Jahren. Zum ersten Mal seit August 2022 fiel die Währung kurzzeitig auf 20,8038 pro US-Dollar und lag damit mehr als 3 Prozent unter ihrem vorherigen Schlusskurs.",Nach Donald Trumps Wahlsieg fiel der mexikanische Peso auf 20.8038 pro US-Dollar und verringerte sich um mehr als 3 Prozent.,"Nach dem Wahlsieg von Donald Trump veränderte sich der mexikanische Peso erheblich. Die Währung erreichte den schwächsten Stand seit über zwei Jahren und fiel kurzzeitig auf 20,8038 pro US-Dollar, was mehr als 3 Prozent unter dem vorherigen Schlusskurs lag. Dies widerspricht der fälschlichen Behauptung, der Peso habe den höchsten Wert seit zehn Jahren erreicht.",vector_rag_antwort_manipuliert_2,"Nach dem Wahlsieg von Donald Trump sank der mexikanische Peso auf den schwächsten Stand seit über zwei Jahren. Zum ersten Mal seit August 2022 fiel die Währung kurzzeitig auf 20,8038 pro US-Dollar und lag damit mehr als 3 Prozent unter ihrem vorherigen Schlusskurs.",1
6,47,1,Wie viele Sitze haben die Republikaner laut den Daten von Reuters/Edison Research im US-Senat gewonnen?,Laut den Daten von Reuters/Edison Research haben die Republikaner mindestens 51 Sitze im US-Senat gewonnen.,Fake Fact,Laut den Daten von Reuters/Edison Research haben die Republikaner mindestens 51 Sitze im US-Senat gewonnen.,FEHLER,FEHLER,vector_rag_antwort_manipuliert_2,Laut den Daten von Reuters/Edison Research haben die Republikaner mindestens 51 Sitze im US-Senat gewonnen.,1
7,72,2,"Welche Aspekte kritisiert Jorge an den Demokraten, die seiner Meinung nach für die Latino-Community nicht mehr relevant sind?","Jorge kritisiert, dass die Demokraten sich um ""woke culture"" und Minderheiten kümmern, während für die Latino-Community wichtige Werte wie Familie, harte Arbeit, Recht und Gesetz für sie nicht mehr zählen.",Framing,"Jorge kritisiert an den Demokraten, dass sie sich nicht mehr um die Anliegen kümmern, die für die Latino-Community wichtig sind. Seiner Meinung nach zählen für die Demokraten nicht mehr die Werte, die Latinos wichtig sind, wie Familie, harte Arbeit sowie Recht und Gesetz. Stattdessen konzentrieren sich die Demokraten auf ""woke culture"" und Themen, die er als ""Minderheitenkram"" bezeichnet. Jorge glaubt, dass die Demokraten absichtlich Chaos stiften, um von ihrer eigenen Unfähigkeit abzulenken.","Jorge kritisiert an den Demokraten, dass sie die Latino-Community im Stich gelassen haben. Er behauptet, dass die Demokraten absichtlich Chaos stiften und dass ihre Unterstützung für die Latino-Community abgenommen hat. Jorge glaubt, dass die Demokraten nicht mehr die Interessen der Latino-Community vertreten und dass Trump mit Hilfe der Latinos gewinnen wird.","Jorge kritisiert an den Demokraten, dass sie sich nicht mehr um die Belange der Latino-Community kümmern. Seiner Meinung nach zählen für die Demokraten Aspekte wie ""woke culture"" und ""Minderheitenkram"", während die Werte, die Latinos wichtig sind, wie Familie, harte Arbeit, Recht und Gesetz, vernachlässigt werden. Jorge behauptet zudem, dass die Demokraten absichtlich Chaos stiften, um von ihrer eigenen Unfähigkeit abzulenken.",vector_rag_antwort_manipuliert_2,"Jorge kritisiert an den Demokraten, dass sie sich nicht mehr um die Anliegen kümmern, die für die Latino-Community wichtig sind. Seiner Meinung nach zählen für die Demokraten nicht mehr die Werte, die Latinos wichtig sind, wie Familie, harte Arbeit sowie Recht und Gesetz. Stattdessen konzentrieren sich die Demokraten auf ""woke culture"" und Themen, die er als ""Minderheitenkram"" bezeichnet. Jorge glaubt, dass die Demokraten absichtlich Chaos stiften, um von ihrer eigenen Unfähigkeit abzulenken.",1
8,30,2,"Welche Maßnahmen plant die kalifornische Regierung, um ihre Gesetze vor möglichen Angriffen aus Washington zu schützen?","Die kalifornische Regierung plant, sich juristisch gegen Maßnahmen der Bundespolitik zu Themen wie Abtreibung, Einwanderung und Klimawandel zu wehren.",Framing,"Die kalifornische Regierung plant, sich gegen mögliche juristische Angriffe aus Washington zu wappnen, um ihre strengeren Umwelt- und Waffengesetze sowie liberaleren Abtreibungsrechte zu schützen. Der Staat ist darauf vorbereitet, ""vor Gericht zu kämpfen"", um diese Gesetze zu verteidigen. Die demokratischen Abgeordneten in Kalifornien wollen die Gesetze ""trumpsicher"" machen, um die Freiheiten, die ihnen am Herzen liegen, zu bewahren. Gouverneur Newsom betont, dass sie nicht untätig zusehen werden, wenn die Bundespolitik versucht, die Freiheiten Kaliforniens anzugreifen.","Die kalifornische Regierung plant, ihre Gesetze vor möglichen Angriffen aus Washington zu schützen, indem sie sich darauf vorbereitet, vor Gericht zu kämpfen. Dies wird durch die Aussage von Gavin Newsom unterstützt, der betont, dass die Freiheiten, die Kalifornien am Herzen liegen, angegriffen werden und dass der Staat nicht untätig bleiben wird.","Die kalifornische Regierung plant, ihre Gesetze vor möglichen Angriffen aus Washington zu schützen, indem sie sich gegen juristische Attacken wappnet. Kalifornien ist darauf vorbereitet, ""vor Gericht zu kämpfen"", um die strengeren Umwelt- und Waffengesetze sowie die liberaleren Abtreibungsrechte zu verteidigen. Die demokratischen Abgeordneten in Kalifornien wollen die Gesetze ""trumpsicher"" machen, um die Freiheiten, die ihnen am Herzen liegen, zu bewahren.",vector_rag_antwort_manipuliert_2,"Die kalifornische Regierung plant, sich gegen mögliche juristische Angriffe aus Washington zu wappnen, um ihre strengeren Umwelt- und Waffengesetze sowie liberaleren Abtreibungsrechte zu schützen. Der Staat ist darauf vorbereitet, ""vor Gericht zu kämpfen"", um diese Gesetze zu verteidigen. Die demokratischen Abgeordneten in Kalifornien wollen die Gesetze ""trumpsicher"" machen, um die Freiheiten, die ihnen am Herzen liegen, zu bewahren. Gouverneur Newsom betont, dass sie nicht untätig zusehen werden, wenn die Bundespolitik versucht, die Freiheiten Kaliforniens anzugreifen.",1
9,76,2,Wie charakterisiert Cathryn Clüver Ashbrook Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle?,"Cathryn Clüver Ashbrook beschreibt Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle als ""radikal protektionistische Wirtschaftspolitik"".",Framing,"Cathryn Clüver Ashbrook charakterisiert Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle als ""radikal protektionistische Wirtschaftspolitik"". Sie beschreibt, dass die Strafzölle der Kern dieser Strategie sind und dass Trump beabsichtigt, ""Handelskriege überall"" zu führen, sollte er erneut gewählt werden. Ashbrook hebt hervor, dass Trump der Meinung ist, andere Länder, einschließlich Verbündeter, hätten sich unangemessen an den USA bereichert. Sie kritisiert diese Handelspolitik als feindselig und volkswirtschaftlich nicht funktionierend.","Cathryn Clüver Ashbrook charakterisiert Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle als eine ""radikal protektionistische Wirtschaftspolitik"".","Cathryn Clüver Ashbrook charakterisiert Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle als ""radikal protektionistische Wirtschaftspolitik"". Sie betont, dass die Strafzölle der Kern dieser Strategie sind. Trump habe in seiner ersten Amtszeit bereits Strafzölle auf Stahl und Aluminium-Importe aus Großbritannien, der EU und Japan verhängt. Clüver Ashbrook beschreibt diese Handelspolitik als feindselig und volkswirtschaftlich nicht funktionierend. Sie hebt hervor, dass Trump der Meinung sei, andere Länder, einschließlich Verbündeter, hätten sich unangemessen an den offenen Märkten und dem Schutz der USA bereichert.",vector_rag_antwort_manipuliert_2,"Cathryn Clüver Ashbrook charakterisiert Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle als ""radikal protektionistische Wirtschaftspolitik"". Sie beschreibt, dass die Strafzölle der Kern dieser Strategie sind und dass Trump beabsichtigt, ""Handelskriege überall"" zu führen, sollte er erneut gewählt werden. Ashbrook hebt hervor, dass Trump der Meinung ist, andere Länder, einschließlich Verbündeter, hätten sich unangemessen an den USA bereichert. Sie kritisiert diese Handelspolitik als feindselig und volkswirtschaftlich nicht funktionierend.",1
